ts_start,ts_end,latency_ms,stage,gpu,frame,warmup
1761041766.2004411,1761041766.209949,9.508,traj_predict,True,1,30
1761041766.2239585,1761041766.224962,1.004,video_write,False,37,True
1761041766.224962,1761041766.224962,0.0,frame_read,False,38,True
1761041766.2259648,1761041766.2279646,2.0,bev_warp,False,38,True
1761041766.2309647,1761041766.2404726,9.508,detect_yolo,True,38,True
1761041766.2414725,1761041766.2414725,0.0,track_bytetrack,False,38,1,True
1761041766.2424724,1761041766.2489796,6.507,cls_turn,True,38,1,True
1761041766.2489796,1761041766.2534823,4.503,cls_brake,True,38,1,True
1761041766.254485,1761041766.2634883,9.003,traj_predict,True,1,30
1761041766.274501,1761041766.275501,1.0,video_write,False,38,True
1761041766.275501,1761041766.275501,0.0,frame_read,False,39,True
1761041766.276503,1761041766.2785032,2.0,bev_warp,False,39,True
1761041766.281503,1761041766.2915173,10.014,detect_yolo,True,39,True
1761041766.2925172,1761041766.293517,1.0,track_bytetrack,False,39,1,True
1761041766.2940214,1761041766.3010235,7.002,cls_turn,True,39,1,True
1761041766.3010235,1761041766.3055315,4.508,cls_brake,True,39,1,True
1761041766.3065314,1761041766.3160396,9.508,traj_predict,True,1,30
1761041766.3275464,1761041766.3285463,1.0,video_write,False,39,True
1761041766.3285463,1761041766.3285463,0.0,frame_read,False,40,True
1761041766.3295465,1761041766.3315465,2.0,bev_warp,False,40,True
1761041766.3340514,1761041766.3435595,9.508,detect_yolo,True,40,True
1761041766.3445628,1761041766.3445628,0.0,track_bytetrack,False,40,1,True
1761041766.3455658,1761041766.3515656,6.0,cls_turn,True,40,1,True
1761041766.3515656,1761041766.3560743,4.509,cls_brake,True,40,1,True
1761041766.3570743,1761041766.3665826,9.508,traj_predict,True,1,30
1761041766.3770902,1761041766.3780904,1.0,video_write,False,40,True
1761041766.3790905,1761041766.3790905,0.0,frame_read,False,41,True
1761041766.3800907,1761041766.3810906,1.0,bev_warp,False,41,True
1761041766.3845959,1761041766.394607,10.011,detect_yolo,True,41,True
1761041766.394607,1761041766.3956096,1.003,track_bytetrack,False,41,1,True
1761041766.3956096,1761041766.4016092,6.0,cls_turn,True,41,1,True
1761041766.4026093,1761041766.4071167,4.507,cls_brake,True,41,1,True
1761041766.4071167,1761041766.4176254,10.509,traj_predict,True,1,30
1761041766.4321327,1761041766.4336355,1.503,video_write,False,41,True
1761041766.4346397,1761041766.4346397,0.0,frame_read,False,42,True
1761041766.4356396,1761041766.4376395,2.0,bev_warp,False,42,True
1761041766.4406395,1761041766.4537268,13.087,detect_yolo,True,42,True
1761041766.454751,1761041766.454751,0.0,track_bytetrack,False,42,1,True
1761041766.455751,1761041766.4627507,7.0,cls_turn,True,42,1,True
1761041766.4627507,1761041766.4672565,4.506,cls_brake,True,42,1,True
1761041766.4682565,1761041766.4767625,8.506,traj_predict,True,1,30
1761041766.487772,1761041766.4887717,1.0,video_write,False,42,True
1761041766.4897718,1761041766.4897718,0.0,frame_read,False,43,True
1761041766.490773,1761041766.491772,0.999,bev_warp,False,43,True
1761041766.4952767,1761041766.5047846,9.508,detect_yolo,True,43,True
1761041766.505788,1761041766.505788,0.0,track_bytetrack,False,43,1,True
1761041766.505788,1761041766.511787,5.999,cls_turn,True,43,1,True
1761041766.512787,1761041766.5172956,4.508,cls_brake,True,43,1,True
1761041766.5182958,1761041766.5268044,8.509,traj_predict,True,1,30
1761041766.5383768,1761041766.5393765,1.0,video_write,False,43,True
1761041766.5393765,1761041766.5393765,0.0,frame_read,False,44,True
1761041766.540378,1761041766.5423763,1.998,bev_warp,False,44,True
1761041766.544885,1761041766.5543933,9.508,detect_yolo,True,44,True
1761041766.5553932,1761041766.5553932,0.0,track_bytetrack,False,44,1,True
1761041766.5553932,1761041766.56842,13.027,cls_turn,True,44,1,True
1761041766.56842,1761041766.577059,8.639,cls_brake,True,44,1,True
1761041766.579059,1761041766.5896575,10.599,traj_predict,True,1,30
1761041766.6017041,1761041766.602704,1.0,video_write,False,44,True
1761041766.602704,1761041766.602704,0.0,frame_read,False,45,True
1761041766.6037056,1761041766.6052115,1.506,bev_warp,False,45,True
1761041766.6082132,1761041766.617721,9.508,detect_yolo,True,45,True
1761041766.6187215,1761041766.6187215,0.0,track_bytetrack,False,45,1,True
1761041766.6197217,1761041766.6252265,5.505,cls_turn,True,45,1,True
1761041766.6262288,1761041766.6347365,8.508,cls_brake,True,45,1,True
1761041766.635737,1761041766.6533368,17.6,traj_predict,True,1,30
1761041766.668865,1761041766.6698642,0.999,video_write,False,45,True
1761041766.6708639,1761041766.6708639,0.0,frame_read,False,46,True
1761041766.6718645,1761041766.6733696,1.505,bev_warp,False,46,True
1761041766.6773756,1761041766.6869142,9.539,detect_yolo,True,46,True
1761041766.6879187,1761041766.6879187,0.0,track_bytetrack,False,46,1,True
1761041766.6889184,1761041766.6954334,6.515,cls_turn,True,46,1,True
1761041766.6964364,1761041766.701434,4.997,cls_brake,True,46,1,True
1761041766.7024343,1761041766.712468,10.034,traj_predict,True,1,30
1761041766.7234883,1761041766.7234883,0.0,video_write,False,46,True
1761041766.7244964,1761041766.7244964,0.0,frame_read,False,47,True
1761041766.7254982,1761041766.726495,0.997,bev_warp,False,47,True
1761041766.7304964,1761041766.742527,12.031,detect_yolo,True,47,True
1761041766.742527,1761041766.7435286,1.002,track_bytetrack,False,47,1,True
1761041766.7435286,1761041766.7498631,6.335,cls_turn,True,47,1,True
1761041766.7508636,1761041766.755377,4.514,cls_brake,True,47,1,True
1761041766.7563798,1761041766.7678945,11.515,traj_predict,True,1,30
1761041766.779402,1761041766.780402,1.0,video_write,False,47,True
1761041766.781402,1761041766.781402,0.0,frame_read,False,48,True
1761041766.7824018,1761041766.783904,1.502,bev_warp,False,48,True
1761041766.7869067,1761041766.7979198,11.013,detect_yolo,True,48,True
1761041766.79892,1761041766.79892,0.0,track_bytetrack,False,48,1,True
1761041766.7999198,1761041766.8064275,6.508,cls_turn,True,48,1,True
1761041766.8074272,1761041766.8124993,5.072,cls_brake,True,48,1,True
1761041766.8134997,1761041766.8246088,11.109,traj_predict,True,1,30
1761041766.8361185,1761041766.8371186,1.0,video_write,False,48,True
1761041766.8371186,1761041766.8381186,1.0,frame_read,False,49,True
1761041766.8381186,1761041766.8401186,2.0,bev_warp,False,49,True
1761041766.842119,1761041766.852627,10.508,detect_yolo,True,49,True
1761041766.853627,1761041766.8541293,0.502,track_bytetrack,False,49,2,True
1761041766.8541293,1761041766.8601348,6.006,cls_turn,True,49,1,True
1761041766.8611348,1761041766.8656418,4.507,cls_brake,True,49,1,True
1761041766.8656418,1761041766.875661,10.019,traj_predict,True,1,30
1761041766.886167,1761041766.8871672,1.0,video_write,False,49,True
1761041766.8876712,1761041766.8876712,0.0,frame_read,False,50,False
1761041766.8886728,1761041766.8896728,1.0,bev_warp,False,50,False
1761041766.8926725,1761041766.9018555,9.183,detect_yolo,True,50,False
1761041766.9033585,1761041766.9033585,0.0,track_bytetrack,False,50,1,False
1761041766.904362,1761041766.910362,6.0,cls_turn,True,50,1,False
1761041766.910362,1761041766.9148672,4.505,cls_brake,True,50,1,False
1761041766.9158695,1761041766.9253743,9.505,traj_predict,True,1,30
1761041766.935883,1761041766.9368832,1.0,video_write,False,50,False
1761041766.9378843,1761041766.9378843,0.0,frame_read,False,51,False
1761041766.9378843,1761041766.939883,1.999,bev_warp,False,51,False
1761041766.9418833,1761041766.9533896,11.506,detect_yolo,True,51,False
1761041766.954413,1761041766.955413,1.0,track_bytetrack,False,51,2,False
1761041766.955413,1761041766.962413,7.0,cls_turn,True,51,1,False
